0.000	0.000	0.000
0.050	0.000	0.000
0.100	0.000	0.000
0.150	0.000	0.000
0.200	0.000	0.000
0.250	0.000	0.000
0.300	0.000	0.000
0.350	4.976	0.000
0.400	4.976	1.267
0.450	4.976	3.433
0.500	4.976	4.433
0.550	4.976	4.767
0.600	4.976	5.100
0.650	4.976	5.133
0.700	4.976	4.700
0.750	4.976	4.967
0.800	4.976	5.033
0.850	4.976	4.900
0.900	4.976	4.600
0.950	4.976	4.800
1.000	4.976	4.833
1.050	4.976	4.800
1.100	4.976	4.633
1.150	4.976	4.800
1.200	4.976	4.900
1.250	4.976	4.733
1.300	4.976	4.700
1.350	4.976	4.633
1.400	4.976	4.967
1.450	4.976	4.733
1.500	4.976	4.733
1.550	4.976	4.633
1.600	4.976	4.933
1.650	4.976	4.767
1.700	4.976	4.733
1.750	4.976	4.733
1.800	4.976	4.733
1.850	4.976	4.967
1.900	4.976	4.833
1.950	4.976	4.967
2.000	4.976	4.633
2.050	4.976	4.833
2.100	4.976	4.767
2.150	4.976	4.867
2.200	4.976	4.800
2.250	4.976	4.733
2.300	4.976	4.833
2.350	4.976	4.800
2.400	4.976	4.933
2.450	4.976	4.700
2.500	4.976	4.733
2.550	4.976	4.733
2.600	4.976	4.867
2.650	4.976	4.933
2.700	4.976	4.833
2.750	4.976	4.700
2.800	4.976	4.733
2.850	4.976	4.800
2.900	4.976	4.933
2.950	4.976	4.733
3.000	4.976	4.800
3.050	4.976	4.833
3.100	4.976	4.900
3.150	4.976	4.800
3.200	4.976	4.833
3.250	4.976	4.733
3.300	4.976	4.833
3.350	4.976	4.833
3.400	4.976	4.767
3.450	4.976	4.867
3.500	4.976	4.800
3.550	4.976	4.833
3.600	4.976	4.833
3.650	4.976	4.700
3.700	4.976	4.933
3.750	4.976	4.700
3.800	4.976	4.733
3.850	4.976	4.633
3.900	4.976	4.967
3.950	4.976	4.667
4.000	4.976	4.933
4.050	4.976	4.833
4.100	4.976	4.733
4.150	4.976	4.833
4.200	4.976	4.700
4.250	4.976	4.933
4.300	4.976	4.800
4.350	4.976	4.733
4.400	4.976	4.833
4.450	4.976	4.733
4.500	4.976	4.733
4.550	4.976	4.733
4.600	4.976	4.933
4.650	4.976	4.800
4.700	4.976	4.833
4.750	4.976	4.733
4.800	4.976	4.733
4.850	4.976	4.767
4.900	4.976	4.767
4.950	4.976	4.733
5.000	4.976	4.733
5.050	4.976	4.767
